iter	Passed	Remaining
471	48247	2813866
472	48393	2816365
473	48531	2818302
474	48666	2820101
475	48808	2822284
476	48946	2824217
477	49082	2826048
478	49201	2826901
479	49318	2827579
480	49427	2827833
481	49534	2827996
482	49642	2828188
483	49755	2828658
484	49872	2829381
485	49983	2829700
486	50095	2830150
487	50219	2831221
488	50327	2831438
489	50432	2831439
490	50546	2831929
491	50680	2833601
492	50814	2835178
493	50944	2836615
494	51188	2844309
495	52017	2884477
496	52204	2888883
497	52350	2891070
498	52513	2894143
499	52705	2898821
500	52867	2901819
501	53021	2904362
502	53175	2906915
503	53314	2908599
504	53456	2910441
505	53608	2912878
506	53788	2916768
507	53930	2918631
508	54154	2924873
509	54311	2927479
510	54462	2929810
511	54633	2933142
512	54821	2937397
513	54962	2939083
514	55104	2940865
515	55243	2942462
516	55384	2944146
517	55515	2945320
518	55647	2946514
519	55787	2948163
520	55920	2949394
521	56046	2950283
522	56179	2951520
523	56317	2953010
524	56450	2954241
525	56592	2955948
526	56753	2958609
527	56909	2960997
528	57059	2963107
529	57238	2966657
530	57422	2970481
531	57564	2972124
532	57737	2975394
533	57898	2977985
534	58026	2978891
535	58162	2980169
536	58300	2981581
537	58437	2982940
538	58571	2984108
539	58702	2985123
540	58838	2986409
541	58967	2987335
542	59104	2988659
543	59241	2989973
544	59380	2991362
545	59517	2992663
546	59654	2993981
547	59797	2995568
548	59926	2996431
549	60051	2997110
550	60187	2998362
551	60330	2999900
552	60484	3002010
553	60618	3003129
554	60771	3005193
555	60907	3006381
556	61040	3007411
557	61170	3008293
558	61319	3010132
559	61481	3012614
560	61637	3014720
561	61795	3016973
562	61930	3018105
563	62090	3020400
564	62245	3022474
565	62431	3026042
566	62582	3027913
567	62749	3030556
568	62929	3033799
569	63089	3036048
570	63234	3037580
571	63407	3040454
572	63549	3041847
573	63713	3044274
574	63895	3047517
575	64063	3050137
576	64242	3053247
577	64394	3055072
578	64535	3056336
579	64688	3058193
580	64963	3065812
581	65099	3066848
582	65236	3067903
583	65364	3068553
584	65504	3069731
585	65632	3070380
586	65766	3071298
587	65903	3072347
588	66035	3073189
589	66177	3074432
590	66335	3076468
591	66472	3077509
592	66604	3078298
593	66745	3079505
594	66884	3080619
595	67042	3082607
596	67185	3083874
597	67373	3087236
598	67531	3089184
599	67674	3090470
600	67814	3091613
601	67957	3092852
602	68107	3094444
603	68296	3097757
604	68445	3099282
605	68616	3101797
606	68750	3102620
607	68909	3104575
608	69047	3105540
609	69181	3106366
610	69316	3107204
611	69480	3109346
612	69598	3109469
613	69735	3110383
614	69868	3111125
615	70007	3112137
616	70141	3112953
617	70278	3113855
618	70411	3114578
619	70540	3115169
620	70675	3115991
621	70800	3116348
622	70932	3117033
623	71067	3117865
624	71214	3119183
625	71356	3120287
626	71494	3121251
627	71632	3122190
628	71764	3122860
629	71895	3123481
630	72033	3124362
631	72174	3125437
632	72311	3126293
633	72444	3126996
634	72570	3127395
635	72708	3128310
636	72835	3128708
637	72965	3129279
638	73092	3129725
639	73230	3130584
640	73369	3131523
641	73496	3131939
642	73622	3132332
643	73754	3132955
644	73885	3133563
645	74015	3134094
646	74155	3135051
647	74289	3135740
648	74423	3136466
649	74557	3137139
650	74690	3137803
651	74823	3138437
652	74950	3138846
653	75077	3139255
654	75207	3139770
655	75342	3140504
656	75478	3141242
657	75611	3141914
658	75745	3142566
659	75878	3143205
660	76005	3143609
661	76133	3144010
662	76277	3145097
663	76416	3145958
664	76574	3147633
665	76706	3148196
666	76843	3148984
667	76975	3149529
668	77119	3150593
669	77308	3153512
670	77440	3154038
671	77572	3154608
672	77704	3155154
673	77854	3156466
674	77985	3156954
675	78114	3157403
676	78243	3157808
677	78370	3158188
678	78495	3158444
679	78626	3158927
680	78770	3159958
681	78894	3160194
682	79018	3160411
683	79140	3160542
684	79272	3161080
685	79408	3161767
686	79540	3162302
687	79670	3162728
688	79810	3163595
689	79936	3163883
690	80069	3164413
691	80198	3164822
692	80331	3165368
693	80456	3165609
694	80590	3166217
695	80720	3166636
696	80852	3167158
697	80979	3167495
698	81108	3167854
699	81254	3168944
700	81398	3169888
701	81545	3170975
702	81677	3171482
703	81811	3172048
704	81966	3173430
705	82117	3174663
706	82265	3175774
707	82397	3176246
708	82549	3177526
709	82686	3178180
710	82816	3178589
711	82950	3179165
712	83080	3179536
713	83214	3180098
714	83345	3180538
715	83480	3181133
716	83612	3181598
717	83738	3181821
718	83864	3182053
719	83997	3182585
720	84133	3183184
721	84267	3183738
722	84398	3184149
723	84520	3184238
724	84653	3184706
725	84784	3185123
726	84908	3185312
727	85045	3185916
728	85181	3186553
729	85320	3187263
730	85450	3187603
731	85574	3187750
732	85709	3188319
733	85838	3188665
734	85972	3189158
735	86097	3189335
736	86233	3189930
737	86358	3190108
738	86499	3190877
739	86629	3191236
740	86762	3191710
741	86900	3192347
742	87036	3192929
743	87176	3193671
744	87319	3194478
745	87460	3195253
746	87589	3195546
747	87720	3195940
748	87865	3196824
749	88007	3197588
750	88143	3198163
751	88267	3198285
752	88426	3199659
753	88549	3199761
754	88692	3200570
755	88838	3201479
756	88990	3202606
757	89134	3203416
758	89267	3203857
759	89404	3204461
760	89555	3205532
761	89702	3206452
762	89846	3207258
763	89991	3208132
764	90138	3209055
765	90276	3209642
766	90423	3210573
767	90569	3211436
768	90715	3212306
769	90858	3213101
770	90995	3213652
771	91209	3216899
772	91409	3219671
773	91560	3220715
774	91796	3224713
775	91955	3226040
776	92129	3227851
777	92291	3229264
778	92479	3231567
779	92624	3232372
780	92785	3233712
781	92932	3234557
782	93073	3235232
783	93222	3236151
784	93372	3237096
785	93537	3238594
786	93703	3240080
787	93854	3241063
788	93993	3241631
789	94136	3242340
790	94286	3243293
791	94418	3243624
792	94593	3245408
793	94736	3246102
794	94880	3246822
795	95023	3247498
796	95163	3248084
797	95296	3248432
798	95436	3249022
799	95583	3249836
800	95722	3250391
801	95875	3251384
802	96015	3251969
803	96178	3253307
804	96350	3254979
805	96491	3255584
806	96691	3258157
807	96841	3259059
808	96990	3259911
809	97139	3260779
810	97311	3262408
811	97497	3264479
812	97650	3265464
813	97802	3266408
814	98006	3269102
815	98149	3269725
816	98288	3270226
817	98448	3271423
818	98599	3272331
819	98752	3273287
820	98899	3274036
821	99038	3274539
822	99190	3275445
823	99336	3276187
824	99480	3276840
825	99614	3277137
826	99749	3277506
827	99885	3277886
828	100019	3278195
829	100151	3278447
830	100286	3278789
831	100417	3279014
832	100557	3279520
833	100685	3279653
834	100818	3279925
835	100956	3280369
836	101091	3280691
837	101265	3282308
838	101404	3282764
839	101556	3283651
840	101689	3283929
841	101835	3284624
842	102000	3285930
843	102146	3286598
844	102283	3287008
845	102431	3287723
846	102576	3288366
847	102720	3288984
848	102873	3289906
849	103011	3290317
850	103154	3290868
851	103284	3291052
852	103415	3291245
853	103548	3291490
854	103690	3292029
855	103842	3292861
856	103965	3292806
857	104088	3292736
858	104217	3292874
859	104353	3293202
860	104485	3293413
861	104611	3293453
862	104758	3294138
863	104894	3294465
864	105021	3294529
865	105158	3294882
866	105287	3294990
867	105422	3295293
